SepalLength,SepalWidth,PetalLength,PetalWidth,Class
-1.02185,-1.74478,-0.260824,-0.261193,Iris-versicolor
-0.294842,-0.819166,0.250967,0.133226,Iris-versicolor
-0.173674,-0.124958,0.250967,0.00175297,Iris-versicolor
-0.173674,-0.356361,0.250967,0.133226,Iris-versicolor
0.432165,-0.356361,0.307833,0.133226,Iris-versicolor
-0.900681,-1.28197,-0.431421,-0.12972,Iris-versicolor
-0.173674,-0.587764,0.194102,0.133226,Iris-versicolor
0.553333,0.569251,1.27455,1.7109,Iris-virginica
-0.0525061,-0.819166,0.762759,0.922064,Iris-virginica
1.52268,-0.124958,1.21768,1.18501,Iris-virginica
0.553333,-0.356361,1.04709,0.790591,Iris-virginica
0.795669,-0.124958,1.16082,1.31648,Iris-virginica
2.12852,-0.124958,1.61574,1.18501,Iris-virginica
-1.14302,-1.28197,0.421564,0.659118,Iris-virginica
1.76501,-0.356361,1.44515,0.790591,Iris-virginica
1.038,-1.28197,1.16082,0.790591,Iris-virginica
1.64384,1.26346,1.33142,1.7109,Iris-virginica
0.795669,0.337848,0.762759,1.05354,Iris-virginica
0.674501,-0.819166,0.87649,0.922064,Iris-virginica
1.15917,-0.124958,0.990221,1.18501,Iris-virginica
-0.173674,-1.28197,0.705893,1.05354,Iris-virginica
-0.0525061,-0.587764,0.762759,1.57943,Iris-virginica
0.674501,0.337848,0.87649,1.44796,Iris-virginica
0.795669,-0.124958,0.990221,0.790591,Iris-virginica
2.24968,1.72627,1.67261,1.31648,Iris-virginica
2.24968,-1.05057,1.78634,1.44796,Iris-virginica
0.18983,-1.97618,0.705893,0.396172,Iris-virginica
1.28034,0.337848,1.10395,1.44796,Iris-virginica
-0.294842,-0.587764,0.649027,1.05354,Iris-virginica
2.24968,-0.587764,1.67261,1.05354,Iris-virginica
0.553333,-0.819166,0.649027,0.790591,Iris-virginica
1.038,0.569251,1.10395,1.18501,Iris-virginica
1.64384,0.337848,1.27455,0.790591,Iris-virginica
0.432165,-0.587764,0.592162,0.790591,Iris-virginica
0.310998,-0.124958,0.649027,0.790591,Iris-virginica
0.674501,-0.587764,1.04709,1.18501,Iris-virginica
1.64384,-0.124958,1.16082,0.527645,Iris-virginica
1.88618,-0.587764,1.33142,0.922064,Iris-virginica
2.49202,1.72627,1.50201,1.05354,Iris-virginica
0.674501,-0.587764,1.04709,1.31648,Iris-virginica
0.553333,-0.587764,0.762759,0.396172,Iris-virginica
0.310998,-1.05057,1.04709,0.264699,Iris-virginica
2.24968,-0.124958,1.33142,1.44796,Iris-virginica
0.553333,0.800654,1.04709,1.57943,Iris-virginica
0.674501,0.106445,0.990221,0.790591,Iris-virginica
0.18983,-0.124958,0.592162,0.790591,Iris-virginica
1.28034,0.106445,0.933356,1.18501,Iris-virginica
1.038,0.106445,1.04709,1.57943,Iris-virginica
1.28034,0.106445,0.762759,1.44796,Iris-virginica
-0.0525061,-0.819166,0.762759,0.922064,Iris-virginica
1.15917,0.337848,1.21768,1.44796,Iris-virginica
1.038,0.569251,1.10395,1.7109,Iris-virginica
1.038,-0.124958,0.819624,1.44796,Iris-virginica
0.553333,-1.28197,0.705893,0.922064,Iris-virginica
0.795669,-0.124958,0.819624,1.05354,Iris-virginica
0.432165,0.800654,0.933356,1.44796,Iris-virginica
0.0686618,-0.124958,0.762759,0.790591,Iris-virginica
