SepalLength,SepalWidth,PetalLength,PetalWidth,Class
0.63,0.25,0.49,0.15,Iris-versicolor
0.61,0.28,0.47,0.12,Iris-versicolor
0.64,0.29,0.43,0.13,Iris-versicolor
0.66,0.3,0.44,0.14,Iris-versicolor
0.68,0.28,0.48,0.14,Iris-versicolor
0.67,0.3,0.5,0.17,Iris-versicolor
0.6,0.29,0.45,0.15,Iris-versicolor
0.57,0.26,0.35,0.1,Iris-versicolor
0.55,0.24,0.38,0.11,Iris-versicolor
0.55,0.24,0.37,0.1,Iris-versicolor
0.58,0.27,0.39,0.12,Iris-versicolor
0.6,0.27,0.51,0.16,Iris-versicolor
0.54,0.3,0.45,0.15,Iris-versicolor
0.6,0.34,0.45,0.16,Iris-versicolor
0.67,0.31,0.47,0.15,Iris-versicolor
0.63,0.23,0.44,0.13,Iris-versicolor
0.56,0.3,0.41,0.13,Iris-versicolor
0.55,0.25,0.4,0.13,Iris-versicolor
0.55,0.26,0.44,0.12,Iris-versicolor
0.61,0.3,0.46,0.14,Iris-versicolor
0.58,0.26,0.4,0.12,Iris-versicolor
0.5,0.23,0.33,0.1,Iris-versicolor
0.56,0.27,0.42,0.13,Iris-versicolor
0.57,0.3,0.42,0.12,Iris-versicolor
0.57,0.29,0.42,0.13,Iris-versicolor
0.62,0.29,0.43,0.13,Iris-versicolor
0.51,0.25,0.3,0.11,Iris-versicolor
0.57,0.28,0.41,0.13,Iris-versicolor
0.63,0.33,0.6,0.25,Iris-virginica
0.58,0.27,0.51,0.19,Iris-virginica
0.71,0.3,0.59,0.21,Iris-virginica
0.63,0.29,0.56,0.18,Iris-virginica
0.65,0.3,0.58,0.22,Iris-virginica
0.76,0.3,0.66,0.21,Iris-virginica
0.49,0.25,0.45,0.17,Iris-virginica
0.73,0.29,0.63,0.18,Iris-virginica
0.67,0.25,0.58,0.18,Iris-virginica
0.72,0.36,0.61,0.25,Iris-virginica
0.65,0.32,0.51,0.2,Iris-virginica
0.64,0.27,0.53,0.19,Iris-virginica
0.68,0.3,0.55,0.21,Iris-virginica
0.57,0.25,0.5,0.2,Iris-virginica
0.58,0.28,0.51,0.24,Iris-virginica
0.64,0.32,0.53,0.23,Iris-virginica
0.65,0.3,0.55,0.18,Iris-virginica
0.77,0.38,0.67,0.22,Iris-virginica
0.77,0.26,0.69,0.23,Iris-virginica
0.6,0.22,0.5,0.15,Iris-virginica
0.69,0.32,0.57,0.23,Iris-virginica
0.56,0.28,0.49,0.2,Iris-virginica
0.77,0.28,0.67,0.2,Iris-virginica
0.63,0.27,0.49,0.18,Iris-virginica
0.67,0.33,0.57,0.21,Iris-virginica
0.72,0.32,0.6,0.18,Iris-virginica
0.62,0.28,0.48,0.18,Iris-virginica
0.61,0.3,0.49,0.18,Iris-virginica
0.64,0.28,0.56,0.21,Iris-virginica
0.72,0.3,0.58,0.16,Iris-virginica
0.74,0.28,0.61,0.19,Iris-virginica
0.79,0.38,0.64,0.2,Iris-virginica
0.64,0.28,0.56,0.22,Iris-virginica
0.63,0.28,0.51,0.15,Iris-virginica
0.61,0.26,0.56,0.14,Iris-virginica
0.77,0.3,0.61,0.23,Iris-virginica
0.63,0.34,0.56,0.24,Iris-virginica
0.64,0.31,0.55,0.18,Iris-virginica
0.6,0.3,0.48,0.18,Iris-virginica
0.69,0.31,0.54,0.21,Iris-virginica
0.67,0.31,0.56,0.24,Iris-virginica
0.69,0.31,0.51,0.23,Iris-virginica
0.58,0.27,0.51,0.19,Iris-virginica
0.68,0.32,0.59,0.23,Iris-virginica
0.67,0.33,0.57,0.25,Iris-virginica
0.67,0.3,0.52,0.23,Iris-virginica
0.63,0.25,0.5,0.19,Iris-virginica
0.65,0.3,0.52,0.2,Iris-virginica
0.62,0.34,0.54,0.23,Iris-virginica
0.59,0.3,0.51,0.18,Iris-virginica
